rev_status,count
Core,3816
Core,7544
Not core,336799
Core,4630
Not core,318
Not core,958
Not core,6186
Not core,105
Not core,2
Not core,1189
Not core,49
Not core,494
Not core,2
Not core,46
Not core,5
Core,275
Not core,3136
Not core,3
Not core,2
Not core,6
Not core,265
Not core,283
Not core,1
Not core,1310
Core,4368
Core,113
Not core,608
Not core,5
Not core,34
Not core,14
Not core,20
Core,59
Core,266
Not core,21
Not core,14
Not core,35
Not core,1
Not core,9
Core,1096
Not core,214
Not core,74
Not core,161
Core,3153
Not core,2983
Not core,839
Not core,1
Not core,3
Not core,1
Not core,369
Not core,1
Not core,1115
Not core,265
Not core,401
Not core,9
Not core,269
Not core,12
Not core,3
Not core,138
Not core,170
Not core,2449
Not core,28
Not core,1
Core,189
Not core,139
Not core,1
Core,9739
Not core,556
Core,1820
Core,1485
Not core,81
Not core,4
Not core,8
Not core,448
Not core,6
Core,5242
Not core,1
Core,585
Not core,279
Not core,26
Not core,994
Not core,360
Not core,46
Not core,2
Not core,2
Not core,833
Not core,6
Not core,69
Not core,659
Not core,730
Not core,1111
Not core,243
Not core,9
Not core,92
Not core,1
Not core,25
Not core,2
Core,9419
Not core,384
Not core,4
Not core,1
Not core,48
Not core,1
Not core,3
Not core,200
Core,1117
Core,5201
Not core,1151
Not core,6
Not core,2112
Not core,20
Core,1679
Not core,1
Core,4963
Core,33
Not core,366
Not core,208
Not core,404
Core,1324
Not core,310
Core,866
Not core,10
Not core,553
Not core,1
Not core,2569
Not core,5
Not core,6328
Not core,34
Not core,23
Core,5879
Not core,326
Not core,11
Not core,50
Not core,2
Not core,59
Core,9548
Not core,13
Not core,9
Not core,1
Not core,140
Not core,6
Core,1123
Not core,15
Not core,33
Not core,36
Not core,4
Not core,204
Not core,26
Not core,5
Not core,3526
Not core,4
Not core,29
Not core,6
Core,5200
Not core,1
Core,6360
Not core,32
Not core,871
Core,138
Not core,210
Not core,364
Not core,24
Core,8023
Not core,29
Not core,51
Not core,208
Core,561
Not core,5
Not core,2
Not core,1812
Not core,1223
Not core,8
Not core,23
Not core,53
Not core,11
Not core,2
Not core,24
Not core,1
Core,1451
Not core,12
Not core,11
Not core,72
Not core,325
Core,561
Core,169
Not core,248
Not core,36
Not core,2
Core,7992
Not core,1868
Not core,2
Not core,1
Not core,2
Not core,250
Not core,1
Not core,17
Not core,7
Not core,90
Core,2047
Not core,7
Not core,6
Not core,2201
Not core,237
Not core,37
Not core,1489
Not core,21
Not core,437
Not core,1
Not core,112
Not core,3337
Not core,39
Not core,2
Not core,78
Not core,24
Not core,2
Core,3332
Not core,27
Not core,356
Not core,5
Not core,14
Not core,5
Not core,12
Not core,5
Not core,1
Core,588
Not core,3
Not core,3094
Not core,2
Not core,10
Not core,7
Not core,1
Not core,26
Not core,1522
Not core,1
Not core,36
Not core,45
Not core,3
Not core,86
Core,47
Not core,3
Not core,45
Not core,524
Not core,24
Not core,142
Core,282
Core,735
Not core,6
Not core,21
Not core,1
Core,6191
Not core,21
Not core,5
Not core,128
Not core,50
Not core,828
Not core,4
Not core,8
Not core,18
Not core,180
Not core,10
Not core,206
Not core,3
Not core,15
Not core,10594
Not core,1
Core,7633
Not core,2
Not core,89
Not core,41
Not core,553
Not core,2
Not core,61
Not core,56
Not core,456
Core,1348
Core,6634
Not core,2
Not core,11
Not core,1
Not core,224
Not core,2
Not core,3013
Not core,27
Not core,7
Not core,4
Not core,26
Not core,103
Not core,56
Not core,1
Not core,34
Not core,1
Not core,1
Not core,1201
Not core,7
Not core,1001
Not core,8
Not core,6
Not core,1
Not core,3
Not core,3
Not core,22
Not core,4694
Not core,3
Not core,175
Not core,46
Not core,43
Not core,56
Not core,270
Not core,19
Not core,1
Not core,1806
Not core,673
Core,1911
Not core,638
Core,728
Core,2055
Not core,96
Not core,3413
Not core,9
Not core,10
Core,2046
Not core,3
Not core,98
Not core,45
Not core,2
Not core,35
Core,25
Not core,1015
Not core,96
Not core,2
Not core,218
Core,562
Not core,780
Core,303
Not core,957
Not core,11
Not core,7
Not core,24
Core,300
Not core,201
Not core,21
Not core,23
Not core,30
Not core,10
Not core,4
Not core,12
Not core,2
Not core,18
Not core,36
Not core,2
Not core,1
Not core,41
Not core,8
Not core,10
Not core,6
Not core,4
Not core,2567
Not core,17
Not core,6
Not core,114
Not core,44
Core,4516
Core,922
Not core,6
Not core,1
Not core,1
Not core,727
Not core,6
Not core,4892
Not core,132
Core,1826
Not core,4
Not core,1
Not core,6
Not core,3
Not core,20
Not core,1
Not core,750
Not core,80
Not core,5
Not core,1
Not core,90
Not core,15
Core,297
Not core,58
Not core,11
Not core,1965
Core,2111
Not core,832
Not core,1
Not core,7
Core,2120
Not core,5
Not core,1003
Not core,272
Not core,3
Not core,80
Not core,77
Not core,95
Core,13382
Not core,45
Not core,2
Not core,56
Not core,2
Not core,1
Core,1212
Not core,7
Not core,5
Not core,10
Not core,45
Not core,1539
Not core,42
Not core,30
Not core,3
Not core,1
Not core,3
Not core,35
Not core,148
Not core,4519
Not core,11
Not core,2130
Not core,22
Not core,46
Not core,1
Not core,50
Not core,1
Not core,37
Not core,2
Not core,3
Not core,3
Not core,369
Not core,50
Not core,301
Not core,3
Not core,2
Not core,120
Not core,3
Not core,1
Core,14496
Not core,4
Not core,3
Not core,1722
Not core,1
Not core,13
Not core,3
Not core,5
Not core,1
Core,2185
Not core,3
Not core,235
Core,4829
Not core,1
Not core,1
Not core,1
Not core,254
Not core,3586
Not core,794
Not core,5
Not core,1
Not core,213
Not core,443
Not core,3
Core,2297
Not core,9
Core,738
Core,2362
Core,3928
Not core,2
Not core,1
Not core,55
Not core,6
Not core,34
Not core,1
Not core,68
Not core,99
Not core,2
Core,1919
Core,1276
Not core,233
Not core,4
Not core,1
Core,161
Not core,65
Not core,20
Not core,1432
Core,1742
Not core,116
Not core,1
Not core,95
Not core,2
Not core,2
Core,32961
Core,410
Not core,74
Not core,24
Not core,14
Not core,38
Not core,90
Not core,50
Not core,43
Not core,2
Not core,50
Not core,2
Core,5846
Not core,176
Not core,45
Core,2869
Not core,1
Not core,17
Core,539
Core,3497
Not core,1
Not core,5
Not core,1
Not core,13
Not core,1
Not core,4
Not core,99
Not core,5
Not core,825
Core,4456
Core,2310
Not core,78
Not core,120
Not core,3
Not core,1
Not core,17
Not core,15
Not core,5
Not core,27
Not core,1
Not core,7829
Not core,645
Not core,29
Not core,1313
Not core,53
Not core,114
Not core,69
Core,6756
Not core,3256
Not core,12
Not core,6
Not core,39
Not core,76
Core,921
Not core,3
Not core,1
Not core,2
Not core,128
Not core,103
Not core,1
Not core,534
Not core,132
Not core,4
Not core,2
Not core,1
Not core,3
Not core,1469
Not core,1
Core,4007
Not core,2
Not core,12
Not core,15
Core,6731
Not core,237
Not core,5
Not core,3
Not core,133
Not core,184
Not core,1
Core,862
Not core,4
Not core,1
Core,56
Not core,11
Not core,5
Not core,4
Not core,1
Not core,1485
Core,3421
Not core,8
Core,4528
Not core,3
Core,4247
Not core,1
Not core,50
Not core,279
Not core,70
Not core,121
Not core,42
